,COUNTRY,count
0,DZ,56
1,LT,38
2,MM,76
3,CI,23
4,TC,7
5,AZ,35
6,FI,105
7,SC,16
8,PM,2
9,UA,137
10,ZM,74
11,RO,24
12,KI,20
13,SL,10
14,SB,33
15,NL,78
16,LA,19
17,BS,62
18,BW,34
19,MN,22
20,AM,13
21,PL,168
22,RE,2
23,PS,5
24,MK,13
25,MX,173
26,PF,49
27,GL,80
28,TV,1
29,EE,25
30,VG,3
31,SM,2
32,CN,305
33,UM,6
34,AT,134
35,NA,220
36,IQ,75
37,RU,910
38,CG,49
39,AD,1
40,HR,32
41,LI,1
42,SV,27
43,CZ,144
44,NP,42
45,VA,1
46,SO,19
47,PT,67
48,PG,253
49,GG,2
50,CX,1
51,KY,3
52,GH,8
53,CV,10
54,HK,9
55,BN,2
56,LR,12
57,TW,31
58,BD,14
59,LB,4
60,PY,46
61,CL,464
62,TO,6
63,FK,13
64,LY,55
65,ID,297
66,AU,1725
67,SA,75
68,PK,125
69,BM,3
70,CA,2394
71,MW,29
72,BL,1
73,NE,23
74,UZ,174
75,GB,452
76,MT,2
77,YE,24
78,BR,3799
79,KZ,104
80,BY,30
81,HN,153
82,NC,21
83,GT,49
84,MD,8
85,DE,548
86,IO,1
87,GN,14
88,AW,1
89,ES,170
90,NR,1
91,EC,89
92,IR,132
93,BH,2
94,MO,1
95,VI,8
96,IL,28
97,MR,20
98,TR,118
99,ME,7
100,VE,592
101,ZA,432
102,CR,123
103,SX,1
104,AI,1
105,GU,3
106,KR,186
107,TZ,68
108,US,21403
109,AQ,22
110,RS,18
111,MS,2
112,AL,8
113,MY,102
114,IN,314
115,JM,17
116,CK,9
117,GM,1
118,LC,2
119,AE,29
120,MQ,1
121,CM,26
122,TG,7
123,RW,7
124,FR,782
125,GF,10
126,MG,69
127,CH,75
128,CC,1
129,TN,15
130,GQ,2
131,NU,1
132,TL,11
133,WF,2
134,GR,73
135,TD,21
136,GI,1
137,PA,58
138,SD,30
139,AG,3
140,DJ,9
141,MC,1
142,BA,11
143,JO,17
144,ET,44
145,SG,8
146,KP,65
147,BF,49
148,CU,134
149,GW,5
150,IT,154
151,FO,8
152,MV,7
153,SE,177
154,BG,74
155,PH,99
156,FJ,26
157,WS,4
158,GE,27
159,SK,21
160,MH,30
161,FM,6
162,CW,1
163,LV,20
164,MU,3
165,PE,162
166,LS,33
167,MZ,33
168,GD,3
169,KM,4
170,DM,2
171,BZ,18
172,DO,37
173,QA,4
174,TH,66
175,EG,69
176,SH,1
177,BI,3
178,BJ,9
179,MF,1
180,GY,32
181,JP,141
182,TM,21
183,VC,5
184,ZW,82
185,SN,14
186,NZ,199
187,LK,16
188,OM,24
189,BT,2
190,HU,55
191,KN,2
192,KE,239
193,CY,11
194,SI,23
195,ML,31
196,HT,8
197,GP,6
198,UG,15
199,IE,46
200,KW,8
201,GA,29
202,VU,32
203,AS,4
204,BE,117
205,MA,34
206,KS,3
207,NI,30
208,KH,11
209,KG,50
210,TT,3
211,BO,181
212,NO,159
213,SY,24
214,ER,5
215,CO,700
216,IM,2
217,SS,24
218,UY,20
219,NG,37
220,TF,3
221,JE,1
222,YT,1
223,AR,699
224,CF,35
225,PW,3
226,PR,62
227,LU,9
228,SZ,16
229,NF,1
230,EH,3
231,VN,34
232,MP,11
233,IS,83
234,AF,62
235,BB,2
236,BQ,3
237,SR,21
238,CD,266
239,DK,70
240,TJ,15
241,AO,55
242,ST,2
