COUNTRY,count
US,21403
BR,3799
CA,2394
AU,1725
RU,910
FR,782
CO,700
AR,699
VE,592
DE,548
CL,464
GB,452
ZA,432
IN,314
CN,305
ID,297
CD,266
PG,253
KE,239
NA,220
NZ,199
KR,186
BO,181
SE,177
UZ,174
MX,173
ES,170
PL,168
PE,162
NO,159
IT,154
HN,153
CZ,144
JP,141
UA,137
AT,134
CU,134
IR,132
PK,125
CR,123
TR,118
BE,117
FI,105
KZ,104
MY,102
PH,99
EC,89
IS,83
ZW,82
GL,80
NL,78
MM,76
IQ,75
SA,75
CH,75
ZM,74
BG,74
GR,73
DK,70
MG,69
EG,69
TZ,68
PT,67
TH,66
KP,65
BS,62
PR,62
AF,62
PA,58
DZ,56
LY,55
HU,55
AO,55
KG,50
PF,49
CG,49
GT,49
BF,49
PY,46
IE,46
ET,44
NP,42
LT,38
DO,37
NG,37
AZ,35
CF,35
BW,34
MA,34
VN,34
SB,33
LS,33
MZ,33
HR,32
GY,32
VU,32
TW,31
ML,31
BY,30
SD,30
MH,30
NI,30
MW,29
AE,29
GA,29
IL,28
SV,27
GE,27
CM,26
FJ,26
EE,25
RO,24
YE,24
OM,24
SY,24
SS,24
CI,23
NE,23
SI,23
MN,22
AQ,22
NC,21
TD,21
SK,21
TM,21
SR,21
KI,20
MR,20
LV,20
UY,20
LA,19
SO,19
RS,18
BZ,18
JM,17
JO,17
SC,16
LK,16
SZ,16
TN,15
UG,15
TJ,15
BD,14
GN,14
SN,14
AM,13
MK,13
FK,13
LR,12
TL,11
BA,11
CY,11
KH,11
MP,11
SL,10
CV,10
GF,10
HK,9
CK,9
DJ,9
BJ,9
LU,9
GH,8
MD,8
VI,8
AL,8
SG,8
FO,8
HT,8
KW,8
TC,7
ME,7
TG,7
RW,7
MV,7
UM,6
TO,6
FM,6
GP,6
PS,5
GW,5
VC,5
ER,5
LB,4
WS,4
KM,4
QA,4
AS,4
VG,3
KY,3
BM,3
GU,3
AG,3
MU,3
GD,3
BI,3
KS,3
TT,3
TF,3
PW,3
EH,3
BQ,3
PM,2
RE,2
SM,2
GG,2
BN,2
MT,2
BH,2
MS,2
LC,2
GQ,2
WF,2
DM,2
BT,2
KN,2
IM,2
BB,2
ST,2
TV,1
AD,1
LI,1
VA,1
CX,1
BL,1
IO,1
AW,1
NR,1
MO,1
SX,1
AI,1
GM,1
MQ,1
CC,1
NU,1
GI,1
MC,1
CW,1
SH,1
MF,1
JE,1
YT,1
NF,1
