ID,TYPE,NAME,LATITUDE,LONGITUDE,COUNTRY,REGION
6523,heliport,Total Rf Heliport,40,-75,US,US-PA
6525,small_airport,Epps Airpark,35,-87,US,US-AL
6531,small_airport,Grass Patch Airport,29,-82,US,US-FL
6532,heliport,Ringhaver Heliport,29,-82,US,US-FL
6533,small_airport,River Oak Airport,27,-81,US,US-FL
6534,small_airport,Lt World Airport,34,-84,US,US-GA
6535,heliport,Caffrey Heliport,34,-85,US,US-GA
6538,heliport,Bailey Generation Station Heliport,42,-87,US,US-IN
6539,small_airport,Hammer Airport,42,-90,US,US-IL
6540,heliport,St Mary Medical Center Heliport,42,-87,US,US-IN
6541,small_airport,Hayenga's Cant Find Farms Airport,40,-89,US,US-IL
6543,small_airport,Robbins Roost Airport,37,-85,US,US-KY
6544,heliport,Ac & R Components Heliport,40,-90,US,US-IL
6546,small_airport,Slater Field,39,-76,US,US-MD
6547,heliport,Dow Chemical Heliport,44,-86,US,US-MI
6551,small_airport,Bucks Airport,39,-75,US,US-NJ
6552,small_airport,North Raleigh Airport,36,-78,US,US-NC
6553,heliport,Colgate-Piscataway Heliport,41,-74,US,US-NJ
6554,small_airport,Weiss Airfield,43,-77,US,US-NY
6555,small_airport,Exit 3 Airport,42,-84,US,US-OH
6556,heliport,Miami Valley Hospital Heliport,40,-84,US,US-OH
6558,heliport,R J D Heliport,40,-76,US,US-PA
45773,small_airport,Ferrell Field,41,-80,US,US-PA
6559,small_airport,Thomas Field,40,-77,US,US-PA
6561,small_airport,Flying O Airport,34,-80,US,US-SC
6564,small_airport,Ragsdale Road Airport,36,-86,US,US-TN
6568,small_airport,Vaughan Airport,37,-79,US,US-VA
6569,small_airport,Groundhog Mountain Airport,37,-80,US,US-VA
6572,small_airport,Northern Lite Airport,44,-89,US,US-WI
6574,small_airport,Lazy J. Aerodrome,39,-80,US,US-WV
6578,small_airport,Ware Island Airport,33,-87,US,US-AL
6581,small_airport,Grant Airport,43,-86,US,US-MI
6586,heliport,Berlin Fairgrounds Heliport,42,-73,US,US-CT
6587,small_airport,Rybolt Ranch Airport,29,-81,US,US-FL
6588,heliport,Florida Hospital-Altamonte Heliport,29,-81,US,US-FL
6589,small_airport,Cedar Knoll Flying Ranch Airport,29,-81,US,US-FL
6590,heliport,Medical Center Heliport,32,-85,US,US-GA
6591,small_airport,The Farm Airport,33,-83,US,US-GA
6593,small_airport,Myers Field,40,-87,US,US-IN
6594,heliport,Hoopeston Community Memorial Hospital Heliport,40,-88,US,US-IL
6595,heliport,Community Hospital Heliport,40,-86,US,US-IN
6596,small_airport,William E. Koenig Airport,39,-90,US,US-IL
6597,small_airport,Hilliard Airpark,31,-82,US,US-FL
6600,heliport,Lourdes Hospital Heliport,37,-89,US,US-KY
6602,small_airport,Schumaier Restricted Landing Area,38,-89,US,US-IL
6604,heliport,Compaq Andover Heliport,43,-71,US,US-MA
6605,seaplane_base,Annapolis Seaplane Base,39,-76,US,US-MD
6606,seaplane_base,Saint Peter's Seaplane Base,47,-69,US,US-ME
6607,heliport,Flow Through Terminal Heliport,43,-84,US,US-MI
6609,heliport,Highway Patrol Troop C Headquarters Heliport,39,-90,US,US-MO
6611,small_airport,Topsail Airpark,34,-78,US,US-NC
6613,small_airport,Moore Airfield,44,-72,US,US-NH
6614,heliport,Albert Guido Memorial Heliport,41,-74,US,US-NJ
6616,heliport,Vassar Hospital Heliport,42,-74,US,US-NY
6617,heliport,Galion Community Hospital Heliport,41,-83,US,US-OH
6620,heliport,Pine Heliport,41,-80,US,US-PA
6621,small_airport,Bierly(Personal Use) Airport,41,-78,US,US-PA
6622,small_airport,Nort's Resort Airport,42,-76,US,US-PA
6623,small_airport,York Airport,35,-81,US,US-SC
6626,small_airport,Colonial Air Park,35,-90,US,US-TN
6631,small_airport,Pickles Airport,39,-78,US,US-VA
6633,small_airport,Prehn Cranberry Company Airport,44,-90,US,US-WI
6638,small_airport,Bass Field,30,-88,US,US-AL
6645,heliport,Strangers Point Heliport,42,-72,US,US-CT
6646,small_airport,Osborn Airfield,29,-82,US,US-FL
45347,small_airport,Cuchens Airport,31,-86,US,US-FL
6648,small_airport,Doug Bolton Field,34,-83,US,US-GA
6649,small_airport,Etowah Fields Airport,34,-85,US,US-GA
6653,small_airport,King Ultralightport,40,-86,US,US-IN
6654,small_airport,Diamond P. Field,40,-86,US,US-IN
6655,heliport,Condell Medical Center Heliport,42,-88,US,US-IL
6657,heliport,Boone National Guard Heliport,38,-85,US,US-KY
6660,heliport,Cuttyhunk Heliport,41,-71,US,US-MA
6661,small_airport,Old Acton Airfield,44,-71,US,US-ME
6662,small_airport,Fairplains Airpark,43,-85,US,US-MI
45686,heliport,Race City Heliport,36,-81,US,US-NC
6669,seaplane_base,Iroquois Landing Seaplane Base,45,-71,US,US-NH
6670,heliport,Penske Heliport,41,-74,US,US-NJ
6672,heliport,Hansen Heliport,43,-76,US,US-NY
6673,small_airport,Zimmerman Airport,41,-83,US,US-OH
6674,small_airport,Murtha Airport,42,-81,US,US-OH
6677,heliport,Stottle Memorial Heliport,40,-78,US,US-PA
6678,heliport,Lag Iii Heliport,40,-80,US,US-PA
6679,heliport,Peco Berwyn Heliport,40,-75,US,US-PA
6680,small_airport,Cuylers Airport,18,-66,PR,PR-U-A
6681,small_airport,Hughes Ultralightport,42,-77,US,US-PA
6682,small_airport,Harpers Airport,33,-81,US,US-SC
6686,small_airport,Ellis Field,36,-87,US,US-TN
6690,small_airport,The Greenhouse Airport,38,-78,US,US-VA
6691,heliport,Northstar Aviation Heliport,37,-82,US,US-VA
6697,heliport,Jackson County Hospital Heliport,35,-86,US,US-AL
6702,small_airport,Lake Persimmon Airstrip,27,-81,US,US-FL
6703,small_airport,Tharpe Airport,31,-86,US,US-FL
6704,heliport,Ranger Heliport,27,-80,US,US-FL
6705,small_airport,Clarks Dream Strip,40,-83,US,US-OH
6708,small_airport,Davis Field Ultralightport,38,-88,US,US-IN
6709,small_airport,Wix Airport,41,-88,US,US-IL
6710,small_airport,Heinzman Airport,40,-86,US,US-IN
6711,heliport,St Anthony's Hospital Heliport,39,-90,US,US-IL
6713,small_airport,Flying H Farms Airport,38,-88,US,US-KY
6716,seaplane_base,Lakeside Marina Seaplane Base,44,-70,US,US-ME
6717,small_airport,Hadley Airport,42,-73,US,US-MA
6718,heliport,Upper Chesapeake Medical Center Heliport,40,-76,US,US-MD
6719,small_airport,Maple Ridge Airport,44,-71,US,US-ME
6720,heliport,Harold Miller Heliport,44,-84,US,US-MI
6726,small_airport,Pilots Ridge Airport,34,-78,US,US-NC
6729,heliport,Lorden Heliport,43,-71,US,US-NH
6730,heliport,At&T Heliport,41,-74,US,US-NJ
6732,small_airport,Talmage Field,41,-73,US,US-NY
6733,small_airport,Gibbs Field,41,-83,US,US-OH
6734,heliport,Marymount Hospital Heliport,41,-82,US,US-OH
6737,heliport,Collegeville Heliport,40,-75,US,US-PA
6738,heliport,M.P. Metals Heliport,41,-76,US,US-PA
6739,small_airport,Ziggy's Field,41,-78,US,US-PA
6741,heliport,Seacoast Medical Center Heliport,34,-79,US,US-SC
6744,heliport,Eagles Landing Heliport,36,-84,US,US-TN
6748,closed,Whipoorwill Springs Airport,39,-78,US,US-VA
6750,small_airport,Zink Airport,44,-89,US,US-WI
6753,heliport,Anniston AHP (Anniston Army Depot),34,-86,US,US-AL
6758,heliport,Shingle Mill Heliport,42,-73,US,US-CT
6760,small_airport,Richards Field,26,-81,US,US-FL
